body,urls
"[스타뉴스 채준 기자] /사진제공=애경AK플라자가 최근 급 성장하는 모바일 커머스 시장을 선점하기 위해 ‘모바일 라이브 방송‘ 신규 사업을 강화했다. 모바일 라이브 방송은 소비자가 언제 어디서든 핸드폰 라이브 방송 앱을 통해 실시간으로 상품을 구매할 수 있는 V커머스의 일종이다. AK플라자는 지난 9월 모바일 라이브 V커머스 스타트업 기업인 ‘그립’과 전략적 업무협약을 체결하고 모바일 라이브 방송을 통한 매출 견인에 힘쓰고 있다.내년 초 정식 오픈을 앞두고 고객의 다양한 니즈 파악과 시스템 개발을 위해 지난 10월부터 ‘그립’과 협업해 라이브 방송을 진행했다. 특히 모든 라이브 방송은 상품 지식∙고객 소통에 특화된 현직 브랜드 매니저가 직접 설명하는 방식으로 오프라인의 강점을 부각시켜 차별화했다.AK플라자는 지난 2개월간 총 22번의 라이브 방송 매출 결과에 따르면 목표 매출 대비 160% 달성했고 누적 시청자 수(실시간 및 VOD 전환 방송)는 약 7만명으로 분석됐다. AK플라자 신채널팀 관계자는 “최근 라이브 방송에 참여하고 싶어하는 매니저와 브랜드가 급격히 증가했다”면서 “12월 중 총20개 브랜드 방송이 협의 됐다”고 말했다.한편 AK플라자는 12월 한달간 ‘그립’ 플랫폼을 통해 개그맨 유상무와 ‘백화점 매대습격’과 ‘백화점 시크릿박스’ 라이브 방송을 진행하고 있다.채준 기자 cow75@mtstarnews.com▶ 스타뉴스 단독 ▶ 생생 스타 현장▶ 스타 인기영상 <저작권자 ⓒ ‘리얼타임 연예스포츠 속보,스타의 모든 것’ 스타뉴스, 무단전재 및 재배포 금지>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=108&aid=0002830663
"2개월 방송 결과 실시간 주문율 66%‘백화점 매대습격’ 10분새 850개 팔려AK플라자가 최근 모바일 라이브 방송을 강화하고 있다. 사진은 12월 한 달간 ‘그립(GRIP)’ 플랫폼을 통해 방송되는 개그맨 유상무의 ‘백화점 매대습격’ 포스터. [AK플라자 제공]AK플라자가 모바일 라이브 방송을 강화한다. 최근 시범 운영한 라이브 방송이 ‘엄지족’들의 뜨거운 호응을 얻으면서 좋은 성과를 냈기 때문이다.18일 유통업계에 따르면, AK플라자는 내년 초 모바일 라이브 방송을 정식으로 오픈한다.AK플라자는 이를 위해 지난 9월 모바일 라이브 V커머스 스타트업인 ‘그립(GRIP)’과 전략적 업무협약(MOU)을 체결한 바 있다. 특히 고객의 니즈 파악과 시스템 개발을 위해 지난 10월부터는 그립과 협업으로 라이브 방송을 진행하기도 했다.시범 방송이긴 하지만 AK플라자의 모바일 라이브 방송의 성과가 상당히 좋았다는 평가다. 지난 2개월간 진행된 총 22번의 라이브 방송 매출은 목표 대비 160%를 달성했다. 누적 시청자 수도 약 7만명에 이르는 것으로 집계됐다.특히 총 주문건수 중 방송 시간 중 주문율은 66%를 기록, 방송 당 평균 26명의 고객이 주문한 것으로 나타났다. 방송 시간이 약 40분인 것을 감안했을 때 10분당 6.5명에게 제품을 판매한 셈이다.이와 함께 방송에 대한 고객들의 평가도 긍정적이었다. AK플라자의 모바일 라이브방송 진행자가 인플루언서나 쇼호스트가 아니라 현장 매니저다보니 보다 친근하고 현실적인 상품 정보를 얻어 좋았다는 평가가 많았다. 라이브 방송을 경험한 매니저 역시 시공간적 부담없이 판매 채널을 확대한다는 점에서 매력적이라고 평가했다.AK플라자 신채널팀 관계자는 “최근 라이브 방송에 참여하고 싶어하는 매니저와 브랜드가 급격히 증가했다”면서 “12월 중 총 20개 브랜드 방송이 협의 됐다”고 말했다.한편 AK플라자는 12월 한달간 ‘그립(GRIP)’ 플랫폼을 통해 개그맨 유상무와 ‘백화점 매대습격’과 ‘백화점 시크릿박스’ 방송을 진행한다. ‘영업 종료 후 불 꺼진 백화점을 급습’하는 콘셉트다. 지난 16일에 진행된 첫 라이브 방송에서는 시청자 4500명이 몰리며 10분간 850개 상품이 판매되는 등 큰 호응을 얻었다.신소연 기자/carrier@heraldcorp.com▶네이버에서 헤럴드경제 채널 구독하기▶Good-Bye특가 전.상.품 추가 5%할인! 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001615369
"박노현 컴트루테크놀로지 대표 ""제품 신뢰도 증대, 구매전환으로 이어져""[아이뉴스24 송오미 기자] ""인플루언서가 라이브 커머스 플랫폼을 사용해 상품을 소개할 경우 구매전환으로 이어지는 경우가 많은데, 이를 통해 중소상인들과 유통사들이 좋은 판로를 많이 개척했으면 좋겠다.""박노현 컴트루테크놀로지 대표는 17일 코엑스에서 열린 '한-일 미디어커머스쇼 2019'에서 ""기존 이커머스(e-Commerce)가 제품에 대한 고객의 신뢰도가 낮고, 이미지·텍스트로 설명하는 한계가 있던 반면 미디어 커머스는 이에 대한 대안을 제시할 수 있다""며 이같이 밝혔다.박노현 컴트루테크놀로지 대표가 강연 중이다 [사진=정소희 기자]박 대표는 '중소상공인의 산업 별 라이브 커머스 사례'를 주제로 펼친 강연에서 ""미디어 커머스는 라이브(생중계)와 비디오(VOD)커머스로 나눌 수 있다""며 ""특히, 라이브 커머스는 제품에 대한 의구심을 진행자가 해소해 줄 수 있어 신뢰도가 증대되고 구매전환으로 이어진다""고 강조했다.이어 중소상공인 산업별 라이브 커머스 사례가 소개됐다. 사례 발표는 김현정 컴트루테크놀로지 마케팅 팀장이 맡았다.김현정 컴트루테크놀로지 마케팅 팀장이 강연하고 있다 [사진=정소희 기자]김 팀장은 ""휴대폰 하나만 있으면 상품을 라이브로 판매할 수 있는 시대가 왔다""며 다양한 라이브 커머스 사례를 소개했다.고로쇠나무에 구멍을 내고 수액을 저장하는 장면 및 생산시설을 보여줘 제품 신뢰성을 보여준 방송, 도라지 농장을 운영하는 농부가 직접 가공·제조한 도라지매청·도라지정과를 만들게 된 스토리와 먹는 팁을 소개하는 방송, 캠핑장에서 일회용 그릴을 활용해 실제 고기를 굽는 모습을 보여주는 방송 등이 소개됐다.컴트루테크놀로지의 라이브 커머스 플랫폼 '레디큐TV'를 통한 라이브 방송도 시연됐다. 1997년도에 설립된 컴트루테크놀로지는 AI 인공지능 기술 분야, 정보보안 제품군, 라이브 스트리밍 분야 등에서 사업을 전개하고 있다.한편, 아이뉴스24는 창간 19주년을 맞아 5월16일부터 17일까지 서울 삼성동 코엑스 컨퍼런스룸(남) 401호에서 한국T커머스협회, 한국엠씨엔협회, 일본라이브커머스추진위원회와 공동으로 '한-일 미디어커머스쇼 2019'를 개최했다.송오미기자 ironman1@inews24.com▶한중일 고수 총출동 미디어커머스 쇼 2019▶미디어커머스쇼 2019 소문내고 무료로 보세요[ⓒ 아이뉴스24 무단전재 및 재배포 금지]",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000493316
"전단지로 대표되던 대형마트 마케팅 시장에 새로운 바람이 불고 있다. 롯데마트가 27일 자사 애플리케이션 'M쿠폰'을 활용해 동영상 커머스 서비스인 '마튜브'를 오픈(사진)한다고 이날 밝혔다. 마튜브는 마트와 유튜브의 합성어로 동영상 커머스 서비스이자 고객과 대형마트의 쌍방향 소통이 가능한 신개념 마케팅이다.마튜브는 롯데마트의 상품을 소재로 홍보 영상을 만들어 올리면 앱 내에서 다른 고객들에게 공유되는 서비스다. 롯데마트 M쿠폰 회원이라면 이용이 가능하고 M쿠폰 앱을 통해 영상 시청과 업로드가 가능하다. 단, 영상의 소재가 되는 상품은 롯데마트몰 내에서 판매되는 상품으로 제한한다. 전문 방송인이나 상품 기획자를 출연시키는 다른 동영상 커머스와는 다르게 전 국민 누구나 참여할 수 있다는 특징이 있다.특히 마튜브 내 업로드된 동영상에는 영상 시청 중 상품 구매가 가능한 버튼이 생성된다. 구매하기 버튼 터치 시 '롯데마트몰 앱'으로 이동되고, 해당 과정을 거쳐 상품을 구매하게 되면 영상을 업로드한 게시자에게 판매된 금액의 1%가 수익금으로 전달된다. 현재 오픈 이벤트로 1%를 추가해 총 2%를 정산해 주는 이벤트를 올해 12월 31일까지 진행하고 있다. 수익금은 매월 정산돼 전달되며 5만 원 이하는 엘포인트로, 5만 원 이상의 경우 현금 또는 엘포인트 중 택1하면 된다.롯데마트가 이처럼 오픈 플랫폼 구조의 동영상 커머스 서비스를 진행하는 것은 같은 상품이라고 해도 고객들마다 본인의 노하우를 살린 다양한 조리법, 사용법 등이 있기에 상품을 토대로 다양한 콘텐츠가 제작될 수 있기 때문이다. 이러한 정보 공유를 통해 상품 구매 수요가 늘어나는 것은 물론이고 젊은 고객들의 방문이 늘어날 수 있다고 판단했다. 최근 국내에 스마트폰 등IT 기기 확산으로 유튜버 등 1인 미디어 시장이 성장하고 있다는 점을 공략하기 위한 것도 마튜브 서비스 출시의 한 요인이다.롯데마트는 유통구조의 진화라는 큰 틀에서 마튜브를 롯데마트의 대표 서비스로 성장시킬 예정이다. 향후 라이브 방송, 산지 생산자 방송 등 판매자와 고객이 직접 쌍방향으로 연결돼 소통할 수 있는 종합 플랫폼으로 거듭날 계획이다.이상현 롯데마트 디지털전략본부 팀장은 ""기존 전단지, 종이쿠폰과 같이 업계에서 관행적으로 하던 마케팅이 아닌 고객이 직접 참여해 다른 고객들과 소통할 수 있는 새로운 동영상 커머스 서비스 마튜브를 선보인다""며 ""일방향적인 소통으로 일관하던 국내 유통업체에 해당 서비스가 신선한 바람을 불러올 것""이라고 말했다.황상욱 기자 eyes@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=082&aid=0000952495
"라이브 퀴즈&커머스 플랫폼 ‘잼라이브’가 파트너사들을 대상으로 판매 수수료 없이 입점의 기회를 제공하는 특별 프로모션을 내년 1월까지 진행한다고 9일 밝혔다.      잼특가 라이브는 퀴즈쇼로 시작해 커머스 라이브까지 성공적인 변신을 이어가고 있는 잼라이브 앱 내에서, 모바일 홈쇼핑 방식으로 약 30∼50분 동안 브랜드 소개하고 제품을 판매하는 코너다.   잼라이브에서는 스마트스토어를 포함해 네이버페이 결제를 지원하는 자사몰 URL도 지원해 파트너사 입장에서는 신규 회원 확보 및 재구매 효과까지 누릴 수 있다.   이번 프로모션 참여 시 별도의 판매 수수료가 없다. 이외에도 잼라이브 공식 SNS 채널 등을 통한 사전 홍보도 지원한다.   이미 잼특가 라이브를 진행한 다양한 제품군들이 ‘완판’ 행렬을 이어가고 있다.    지난11월 진행한 문현전통한우곱창전골 상품은 50여 분의 방송 동안 사전 준비한 약 3000개의 상품을 모두 판매하는 기록을 달성했다.    이외에도 비발디파크 스키장 이용권과 키르시 맨투맨과 패딩 제품 역시 각각 7300만원과 1억5000만원 규모의 매출을 기록하며 ‘완판’을 달성했다.   현화영 기자 hhy@segye.com   사진=네이버ⓒ 세상을 보는 눈, 세계일보",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=022&aid=0003420642
"신세계TV쇼핑이 음악과 쇼핑을 함께 즐기는 '모바일 생방송'을 선보인다. 기존 홈쇼핑과 차별화된 콘텐츠로 '엄지족'을 공략한다. 모바일이 T커머스 시장 핵심 플랫폼으로 떠올랐다.신세계TV쇼핑은 매주 금요일 오전 8시 30분 모바일 채널에서 신개념 쇼핑 방송 '출근길 뮤직하이'를 선보인다고 21일 밝혔다.라이브 공연을 시청하면서 신세계TV쇼핑 모바일의 인기 상품을 구매할 수 있다. 출근길에 대중교통 등에서 음악을 즐기는 소비자를 집중 공략한다. TV홈쇼핑과 모바일 커머스에서 처음 시도 되는 콘셉트다. 신세계TV쇼핑 모바일 애플리케이션(앱)과 카카오TV라이브 '오싹한 라이브'에서 시청 가능하다.최근 방영된 첫 방송에서는 어쿠스틱 듀오 '정흠밴드'가 출연해 총 5곡을 라이브로 선보이며 '자가담 세척 사과'를 판매했다. 이 날 카카오TV라이브 조회 수는 2만 뷰 이상을 기록했다.황준성 신세계TV쇼핑 프로듀서(PD)는 “인기 상품을 놓친 고객에게 또 한 번의 합리적 쇼핑기회와 음악으로 하루를 시작하는 즐거움을 선사하겠다”고 말했다.신세계TV쇼핑을 비롯한 T커머스는 모바일 공략에 주력한다. 녹화방송만 허용되는 TV와 달리 시간 제약 없이 생방송을 선보일 수 있는 것은 물론 편성 채널 번호 영향도 적다. 관련 규제 영향이 적어 비디오(V)커머스 등 한층 개성 있는 방송 콘텐츠를 제공할 수 있는 것도 강점이다.올 초 모바일 전담 조직을 신설한 KTH의 K쇼핑은 근시일 내 모바일 라이브 방송을 선보일 예정이다. 현재 모바일 전용 스튜디오를 구축하는 한편 관련 서비스 기획 단계에 돌입했다.K쇼핑은 이베이코리아와 제유한 모바일 전용 V커머스 '쇼피셜', 크리에이터를 활용한 유튜브 콘텐츠를 지속 선보여 모바일 취급액 비중을 지속 확대할 계획이다.SK스토아는 모바일 채널의 중요성을 감안, 최근 관련 조직을 최고경영자(CEO) 직속으로 전환했다. 인기 드라마 속 제품을 모바일에서 선보이는 'SBS픽', 시즌 상품을 짧은 영상으로 소개하는 '픽캐스트' 등을 앞세워 엄지족 확보에 속도를 내고 있다.업계 관계자는 “모바일은 TV와 비교해 송출수수료 등 비용 부담도 적다”면서 “T커머스 업계가 모바일 생방송 제작에 계속 도전할 것”이라고 말했다.윤희석기자 pioneer@etnews.com▶ 인공지능 서비스 위한 음성 사용자경험(VUX), 2020 트렌드 전망 및 실무 가이드▶ 네이버 모바일에서 [전자신문] 채널 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002852994
"CJ ENM 오쇼핑부문의 모바일 생방송 '쇼크라이브'가 개국 2주년을 맞아 고객 사은 이벤트를 진행한다고 2일 밝혔다.  CJ ENM 오쇼핑부문은 지난 2017년 12월 업계 최초로 모바일 생방송 전용 채널 '쇼크라이브'를 개국해 현재까지 누적 방송 시간 1400시간을 돌파했다. 유통가의 모바일 쇼핑 강화 트렌드 속에서 올해는 방송 편성 시간을 전년 대비 3배 가까이 확대하고, 모바일 특화 상품을 선보이며 누적 주문 실적은 약 400억원을 기록했다. 쇼크라이브는 현재 매주 월요일부터 목요일까지 '겟꿀쇼', '뻔펀', '픽미업', '인싸쇼핑' 등 4개의 생방송 프로그램과 VOD 콘텐츠인 '쇼크플러스'를 운영 중이다.  독보적 모바일 쇼핑 콘텐츠 역시 쇼크라이브가 2년간 쌓아온 노하우다. 뮤지컬이나 공연 등 문화콘텐츠와 커머스를 접목시킨 쇼케이스형 방송과 인플루언서·아티스트와의 협업 등 차별화된 모바일 쇼핑 콘텐츠 전략을 펼쳤다. 그 결과 구매력을 갖춘 30~40대는 물론, 모바일 동영상 콘텐츠와 실시간 쌍방향 소통을 선호하는 밀레니얼 세대까지 고객 저변을 넓혔다. 2년 간 누적 방문 고객은 500만 명에 이른다.  CJmall 쇼크라이브는 개국 2주년을 기념하기 위해 2일부터 5일까지 4일간 이벤트 주간을 진행한다. 생방송 프로그램에선 크리스마스 시즌을 맞아 선물이나 홈파티 등에 어울릴 상품을 편성하고, 각 상품마다 1명씩 추첨해 선물을 제공하는 이벤트를 진행한다. CJmall 쇼크라이브 이벤트 페이지에서 프로그램 별 편성 상품에 응모하면 된다. 순금 바, 풀빌라 2박 숙박권, 명품 가방, 홍천 1등급 한우 등이 준비돼 있으며, 고객 한 명 당 매일 4회 참여할 수 있다.   yjjoe@fnnews.com 조윤주 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004336241
"“올해의 패션 트렌드 궁금하다면, SSG닷컴에서 ‘쓱’”서울패션위크 참가한 ‘송지오 옴므’ 패션쇼 생중계17일 오후 3시부터 ‘2020 서울패션위크’에 참가한 디자이너 브랜드 ‘송지오 옴므’ 패션쇼를 홈페이지와 모바일을 통해 생중계한다. (사진=SSG닷컴)[이데일리 이윤화 기자] SSG닷컴이 ‘V커머스’를 활용해 입체적인 쇼핑 경험제공에 주력하고 있다. V커머스는 ‘영상(Video)’과 ‘상거래(Commerce)’의 합성어로, 동영상을 통해 상품 구매를 유도하는 전자상거래의 일종이다.SSG닷컴은 17일 오후 3시부터 ‘2020 서울패션위크’에 참가한 디자이너 브랜드 ‘송지오 옴므(SONGZIO HOMME)’ 패션쇼를 홈페이지와 모바일을 통해 생중계한다고 이날 밝혔다. SSG닷컴 내 송지오 옴므 공식 스토어에서 약 30분간 스트리밍 되며, 영상은 동아TV에서 송출되는 것을 활용한다.이번 패션쇼에서는 송지오 옴므의 내년도 봄·여름(S/S)시즌 컬렉션 상품과 올해 가을·겨울(F/W) 시즌 일부 상품을 함께 선보일 예정이다. 쇼 콘셉트는 ‘포 시즌(FOUR SEASONS)’으로 송지오 디자이너가 직접 그린 4개의 추상화를 각기 다른 계절로 표현해 의상에 반영했다. 계절이 주는 느낌에 맞춰 ‘핑크’, ‘옐로우’, ‘그린’, ‘레드’ 등의 색상을 주로 사용했다.SSG닷컴은 고객이 2020 서울패션위크가 열리는 동대문디자인플라자(DDP)에 직접 가지 않아도 SSG닷컴을 통해 현장 분위기를 느끼고, 내년도 신규 상품을 미리 만날 수 있도록 V커머스 활용을 기획했다.실제로 패션 전문 채널에서나 볼 수 있는 디자이너 브랜드 행사를 라이브 영상으로 보여주는 것은 온라인 쇼핑몰에서는 매우 이례적인 시도다.SSG닷컴은 지난 3월에도 2019 서울패션위크에 참가한 송지오 옴므 패션쇼 생중계를 진행한 바 있다. 실제로 SSG닷컴에서 올해 송지오 옴므 월별 매출은 3월이 두 번째로 높았으며, 1월과 대비해도매출이 72% 늘어나는 등 V커머스 효과를 확인했다.또한 지난 4월말에는 캐쥬얼 슈즈 브랜드 ‘크록스(CROCS)’가 주최하는 ‘크록스 바이브(CrocsVibes)’ 이벤트 영상을 생중계했다. 역시 전달 대비 매출이 10% 이상 증가하는 등 라이브 방송과 연계했을 때 고객 반응이 좋았다.유통 업체는 고객에게 새로운 쇼핑 경험을 제공하고 다양한 콘텐츠를 확보하고, 제조사는 추가 비용 부담 없이 브랜드를 알리고 구매를 끌어낸다는 측면에서 최근 V커머스가 각광받고 있다. 특히 영상에 익숙한 밀레니얼 세대에게 반응이 좋다.김예철 SSG닷컴 영업본부장은 “2000년부터 시작한 서울패션위크에 매년 참석하고 있고 대한민국을 대표하는 디자이너 브랜드인 송지오 옴므가 가진 상징성을 고려해 패션쇼 생중계를 진행한다”며 “차별화된 쇼핑의 즐거움을 주기 위해 V커머스를 적극적으로 활용할 것”이라고 말했다.이윤화 (akfdl34@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004492982
"2013년 50억 매출로 시작, 올해 5백억원 매출 올려 10배 성장“알리바바 주요 파트너사로서 함께 성장 하는 것 큰 의미 있어”중국 티몰 이랜드 종합관 홈페이지. 제공|이랜드[스포츠서울 양미정 기자] 이랜드는 11일 광군제 하루 동안 온라인 쇼핑몰 티몰(天猫)에서 2.97억 위안화 (한화 약 500억원)의 매출을 올렸다고 밝혔다. 지난해까지 포함됐던 티니위니 브랜드의 매출을 제외하면 전년대비 20% 성장한 수치다. 12일 이랜드 관계자에 따르면 이들은 중국 사업 핵심 패션브랜드였던 티니위니를 매각 했음에도 기존 브랜드의 성장세는 지속적으로 이어가고 있는 상황이다. 티몰 패션 카테고리가 그 어느해보다도 치열해진 상황에서 이랜드 전체 매출이 성장한 것은 이랜드가 현지에 특화된 컨텐츠를 지속적으로 개발하고, 현지인에게 맞춤화된 영업방식을 택했기 때문으로 분석된다. 이랜드 상품 중 올해 가장 인기를 끌었던 상품은 포인포의 다운상품으로 총 5만 장, 28억원 상당의 물량이 판매됐다. 이 외에도 이랜드의 맨투맨 후드티는 전통적인 효자 상품으로 올해에도 1만 장 판매되며 매출 성장을 이끌었다.또한 알리바바와의 공동기획을 통해 웹드라마까지 제작한 이랜드 SPA브랜드 스파오의 해리포터 컬래버레이션 상품이 4만장 팔리며 깜짝 실적을 기록했다. 스파오는 해리포터 컬래버레이션 상품을 활용한 웹드라마를 제작, 이를 타켓고객이 선호하는 샤오홍슈, 웨이보, 빌리빌리, 도잉 등 주요 SNS 채널을 통해 알려 큰 호응을 받았다.◇빅데이터와 인플루언서, 라이브방송 활용한 현지화 마케팅 전략 성공이랜드가 중국 광군제에서 눈에 띄는 매출을 일으킬 수 있는 이유는 바로 수년간 누적된 빅데이터와 현지 상황에 맞춤형으로 설계한 마케팅 전략의 시너지 때문이다. 이랜드는 지난 1994년 국내기업 최초로 중국에 진출한 이래로 25년동안 트렌드 변화와 중국인 고객의 특성, 현지인들이 원하는 상품의 특징 등 수많은 정보를 데이터베이스화 했다. 이렇게 모인 빅데이터는 상품의 디자인, 마케팅, 물류 시스템 등 전분야에 걸쳐 이랜드만의 중국사업 노하우의 핵심 무기로 자리매김했다.올해 광군제에서도 이랜드 중국사업부의 빅데이터는 상품의 적정 재고량 설계, 온라인 단독 상품기획 등 핵심 전략의 밑바탕이 됐다. 올해에는 중국 인플루언서(왕훙)를 활용한 라이브방송(즈보) 마케팅이 큰 효과를 발휘했다. ◇재능 있는 직원 선발 후 라이브쇼 진행도 고객 유입 노하우 중 하나주요 인플루언서들과 직접 협업해 한 것 뿐 만 아니라 이랜드가 직접 채용한 판매사 중에서도 재능 있는 직원들을 선발하여 라이브쇼를 진행 할 수 있도록 교육과 지원을 진행한 것이 가장 주효했다. 판매사들이 오프라인에서 쌓은 고객과의 소통능력과 온라인팀의 고객 유입 노하우가 결합된 시너지로 다른 브랜드가 진행하는 즈보와 차별화 하면서 전환율을 높일 수 있었던 것이다. 이랜드 관계자는 “알리바바의 주요 파트너사로 지난 몇 년 동안 패션카테고리 확장 등을 함께 해 오면서 동반 성장 해왔다는 것에 큰 의미가 있다”며 “중국 SNS 채널과 협업이나 옴니채널 확장 등을 이어 나가 중국 이커머스의 성장을 한 단계 더 발전 시키는 기회로 만들어 나갈 예정”이라고 말했다.certain@sportsseoul.com▶[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000590654
"신세계TV쇼핑이 대학생들을 대상으로 미디어 커머스 방송 '오싹한 라이브'에 출연할 일일 쇼호스트 '세꿀바'를 모집한다고 19일 밝혔다.  세꿀바는 '세상에 둘도 없는 꿀알바'의 줄임말로 신세계TV쇼핑의 대표 미디어 커머스 방송인 '오싹한 라이브'에 출연해 판매 제품을 함께 체험하고 소개하면, 30만원을 즉시 제공하는 방식으로 진행된다.  지원은 유튜브 '세꿀바' 페이지에 게시된 링크를 통해 가능하며, 대학생 자격이라면 휴학생을 포함해 나이 제한 없이 누구나 지원할 수 있다.  지원자의 아르바이트, 여행 등 다양한 경험과 홈쇼핑 상품에 대한 이해도 등을 검토해 매주 1명을 선정해 방송한다.  신세계TV쇼핑은 대표 미디어 커머스 방송 '오싹한 라이브'의 20~30대 시청자 유입을 확대하기 위해 최신 트렌드에 민감한 대학생들을 대상으로 출연자 모집을 기획했다고 전했다.  그간 일반인 진행자들로 구성된 '오싹한 라이브 크루', '미디어 커머스 영상 콘텐츠 공모전' 등 차별화된 시도들을 이어온 신세계TV쇼핑은 앞으로도 '소통형 프로그램'을 지속적으로 선보여 미디어 커머스 방송 '오싹한 라이브'를 하나의 브랜드로 자리잡게 하겠다는 전략이다.  '세꿀바'를 기획한 신세계TV쇼핑 서정우 PD는 ""젊은 고객층 유입을 확대하고 참가자들에게 아이디어와 재능을 펼칠 기회를 제공하기 위한 취지로 프로그램을 기획했다""며 ""톡톡 튀는 에너지로 30분을 꽉 채워줄 끼많은 대학생들의 많은 지원을 바란다""고 말했다. yjjoe@fnnews.com 조윤주 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004329808
