body,urls
"'미네워터 바코드롭 캠페인'/CU제공 
편의점 CU는 지난 28일 서울 중구 CJ제일제당 본사에서 CJ제일제당(097950)과 공동 진행한 ‘미네워터 바코드롭 캠페인’ 기부금 전달식을 개최했다고 30일 밝혔다.이번 기부 행사에는 BGF리테일 이용상 상품본부장, 유니세프한국위원회 송상현 회장, CJ제일제당 영업총괄 정태영 부사장 등이 참여했으며 총 기부금액은 7883만6100원이다.‘미네워터 바코드롭 캠페인’은 고객이 CJ제일제당의 해양심층수 미네워터(500ml, 1000원) 구입 시 일반바코드 스캔 후 물방울무늬 바코드를 한번 더 스캔하면 생수값 이외 100원을 추가로 부담하게 되며, 이때 모아진 100원과 CU(씨유)·CJ제일제당이 추가로 100원씩 적립해 유니세프에 기부하는 방식이다.[김창남 기자 kcn@chosun.com]조선비즈 핫 뉴스 Bestㆍ걸그룹 동원, 기획사가 갑으로 모시는 그분들ㆍ산업은행 17년만의 변화… 심상치 않다ㆍ속타는 수입차 딜러들…""이정도면 땡처리""ㆍ제시카 알바, 벤처 창업자 자격으로 한국 온다ㆍ'朴 인수위' 이번엔 청년특위 인사 말썽chosunbiz.com",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000099596
"[머니위크 문혜원 기자]CU(씨유)편의점과 CJ제일제당이 공동 진행한 ‘미네워터 바코드롭 캠페인’의 기부금 전달식이 지난 28일 CJ제일제당 본사에서 열렸다. 

이번 기부 행사에는 이용상 BGF리테일 상품본부장, 송상현 유니세프한국위원회 회장, 정태영 CJ제일제당 영업총괄 부사장(사진 왼쪽부터) 등이 참여했으며, 총 기부금액은 7883만6100원이다.

미네워터 바코드롭 캠페인은 고객과 유통업체, 제조사가 모두 참여하는 기부 행사다. 고객이 CJ제일제당의 해양심층수 미네워터 구입 시 일반바코드 스캔 후 물방울 무늬 바코드를 한 번 더 스캔하면 생수값 이외에 100원을 추가로 부담하게 되며, 이때 모아진 100원에 CU와 CJ제일제당이 추가로 100원씩 기부해 유니세프에 기부하는 방식이다. 100원을 기부하는 것에 대한 결정은 소비자가 할 수 있다.








[머니투데이 핫뉴스]☞ ""갤S3 25만원!"" 영업정지 코앞 보조금 전쟁? ☞ 이통사 영업정지 코앞…주말 막판 보조금戰?☞ 김태희 '스캔들'에 돈 한푼 안쓰고 웃는곳?☞ 84세 하와이 男, 한국와서 주름 수술…""감동""☞ 성추행 혐의, 고영욱 CCTV 공개돼… ""내용은?""☞ [단독]연금저축 12년만에 수술…내달 새 제도 도입☞ ""인터넷 하려고..""부모 수면제 먹였다가, 헉!

[스몰캡 리포트]숨어있는 중소형주 발굴!





재테크주간지 머니위크 [바로가기]


문혜원기자 gissel@
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니위크, 무단전재 및 재배포 금지>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000000479
"▲매콤한 두루치기 정식 도시락 이미지
[아시아경제 이현주 기자]편의점 CU가 도시락에 국을 더한 '매콤한 두루치기정식 도시락'을 출시한다고 27일 밝혔다.매콤한 두루치기 정식 도시락은 볶은 두루치기 볶음, 햄고 김을 넣은 계란말이, 칼집을 낸 비엔나 소시지, 오복채 등 총 4가지 반찬과 따뜻하게 데워 먹을 수 있는 국으로 구성돼 있다.CU관계자는 ""밥을 먹을 때 국을 함께 먹는 한국인의 식습관에 맞추어 기존 별도의 국 상품을 도시락과 함께 코보 상품으로 운영한 적은 있으나 한상차림 형태로 직접 국이 들어간 건 편의점 업계 최초""라고 말했다.매콤한 두루치기정식 도시락은 판매가 3800원이다.이현주 기자 ecolhj@<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>[관련기사]  '션-정혜영' 월 3000만원 기부하고 사는 집이…'충격' '아이유-은혁' 사생활 사진 침묵하더니 결국… 박근혜 당선인 돕더니 '은지원' 2년6개월만에 김병만 '투표장면 논란' 일 커지더니 결국 ""1박2일 '엄태웅' 짜증내는 '김종민' 때문에""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0002904499
"박재구 BGF리테일 신임 대표이사./BGF리테일 제공
편의점 CU를 운영하는 BGF리테일은 박재구 총괄부사장을 대표이사 사장으로 승진 발령하는 등 2013년 정기 인사를 단행했다고 25일 밝혔다.박재구 신임 대표는 1957년생으로 동국대를 나와 1992년 BGF리테일에 입사해 일배식품과장, 영업부장, 상품본부장, 개발본부장, 영업본부장, 총괄부사장 등을 역임했다.BGF리테일은 조직 개편도 단행했다. 기존 영업·개발 조직을 1운영지원본부, 3권역 체제로 통합했다. 또 상품본부의 일부 기능을 재편하고 마케팅본부를 신설했다. 전략기획실을 전략기획본부로 승격시켰으며, 경영지원본부 내 재무지원실을 신설했다.회사 관계자는 “급변하는 경영환경에 능동적으로 대응하기 위한 조직체계를 구축, 21세기 한국형 편의점 정착과 경쟁력 강화에 적극적으로 나설 것”이라고 말했다.[이재설 기자 record@chosun.com]조선비즈 핫 뉴스 Bestㆍ""일반인은 못가요"" 구치소 안 편의점엔…ㆍ[단독]""이럴수가 중국에서…"" 르노삼성 직격탄ㆍ""예금 좀…"" 은행 지점장들, 식당·병원 찾아 굽실ㆍ법정관리 신청 사상최대… 법원은 요즘 매일 북새통ㆍ[단독] 전기요금 이르면 내달 평균 4%대 인상chosunbiz.com",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000098732
"[머니투데이 이학렬 기자][선착순 100만명에게 무료로 제공]SK플래닛은 T스토어가 연말을 맞아 고객 감사이벤트 '땡큐 페스티발'을 진행한다고 21일 밝혔다. 21일 하루 동안 T스토어를 방문한 고객을 대상으로 전국 CU편의점에서 연말까지 사용할 수 있는 모바일 상품권 2000원을 선착순 100만명에게 무료로 증정한다.T스토어에서 '땡큐, CU편의점, 선물'의 키워드로 검색하거나 T스토어 추천메뉴에서 노출되는 'T store Present CU편의점 상품권'을 선택하면 무료로 내려 받을 수 있다. SK플래닛 관계자는 ""올해 T스토어를 사랑해주신 고객님들에게 감사의 선물을 준비했다""며 ""내년에는 더 다양한 콘텐츠를 더욱 편리하게 이용할 수 있는 최고의 앱 장터가 될 수 있도록 최선을 다하겠다""고 밝혔다. 한편 24일에는 크리스마스를 맞아 락오브에이지, 섹스앤더시티2, 해롤드와 쿠마의 크리스마스, 프로젝트 X, 스티브 잡스, 포레스트 검프, 테드, 다크섀도우 등 총 8편의 영화를 330원에 구매할 수 있는 '330원 특가 영화전'을 진행한다. [머니투데이 핫뉴스]☞ 박근혜 당선인의 '10억' 방탄車 벤츠S600은? ☞ 朴, '첫 일정' 현충원 참배 후 사망 보좌관 장지로☞ 장충초·서강대, 박근혜 재계인맥 살펴보니…☞ 한 네티즌, 朴 당선인에 ""문재인 지지자였지만…""☞ 박근혜 둘러싼 남자들, 경호원 대체 몇명?☞ 이정현 공보단장 '굴욕'? 朴 경비강화에…☞ 삼성, 내일 '5000억대' 생산성 격려금 푼다[스몰캡 리포트]숨어있는 중소형주 발굴!이학렬기자 tootsie@<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=008&aid=0002968393
"[이데일리 김유정 기자] BGF리테일은 21일 사옥 대강당에서 CU(씨유) 자녀 장학금 수여식을 개최했다. BGF리테일은 매년 편의점 CU 가맹점주의 고등학생과 대학생 자녀 1인당 연간 50만~200만원씩 매년 7000여 만원의 장학금을 수여하고 있다. 올해 자녀 장학금을 받게 된 가맹점주는 총 51명이다. 성적우수 가맹점주 자녀 장학금 이외에도 장기 운영 점주에 대한 콘도 지원, 점주 자녀캠프, 점주 자녀 백일장 대회, 점주·가족 수기 및 동영상 공모전, 점주 경조사 지원, 점주 마이더스 제도 등 다양한 점주복지제도를 운영하고 있다.정준흠 BGF리테일 영업기획팀장은 “복지 제도 또한 예비가맹점주들이 창업 아이템을 선정하는데 중요한 고려 사항”이라며 “앞으로 점주들에게 더 많은 복지 혜택이 돌아갈 수 있도록 노력하겠다”고 밝혔다.CU 자녀 장학금 수여자들이 기념촬영을 하고 있다.",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=018&aid=0002704916
"'CU 삼성전자주차타워점'./CU제공 
편의점 업계가 포화된 시장 환경을 고려해 다양한 상권 개발에 박차를 가하고 있다.23일 관련 업계에 따르면 편의점 업계는 그동안 ‘단순 입지’전략에서 벗어나, ‘고객 중심 사고 입지’전략으로 변모하고 있다.과거엔 역세권이나 유통인구가 많은 상권 등을 중심으로 신규 출점했다고 하면 최근엔 공정거래위원회의 편의점 ‘출점거리제한’(250m) 등을 감안해 다양한 상권개발에 나서고 있는 것.실제로 CU(구 훼미리마트)는 주차장 1층에 위치한 감자탕 집을 벤치마킹해 주차장 내 편의점을 개설했다. CU는 지난 10월 수원시 영통구에 있는 삼성전자 주차타워 내에 ‘CU 삼성전자주차타워점’을 오픈했다.일반적으로 주차타워라고 하면 으슥한 곳으로 생각하기 쉽지만 CU는 오히려 발상의 전환을 한 것. 무엇보다 차량을 주차하고 차문만 열고 나오면 바로 편의점을 이용할 수 있다는 점을 활용했다.특히 지하 4층, 지상 3층 규모인 삼성전자주차타워는 하루 이용차량만 4300대가 넘고 삼성전자 본 건물과도 바로 연결돼 유동인구도 적지 않다는 게 CU 설명이다.주로 출퇴근 시간이나 점심시간대 간단하게 식사할 수 있는 도시락, 김밥 등 먹을거리와 사무용품 등을 주로 취급하고 있다.앞서 CU는 지난 8월 서울 동작구 흑석동에 국내 1호 드라이브스루(Dirve-Thru·차에 탄 채로 주문하는 방식) 편의점인 ‘CU SK흑석동 주유소점’을 오픈했다.일반인들이 쉽게 접근할 수 없는 구치소에도 편의점이 있다. 세븐일레븐은 2011년 1월 업계 최초로 서울구치소 면회장 안에 편의점을 오픈했다.주고객은 일반인이 아닌 면회객과 구치소 근무자. 이 매장은 10분 정도 밖에 되지 않은 짧은 면회 시간 때문에 전체 매출 중 음료 비중이 무려 32.5%에 달하고 빵 매출의 경우 일반 매장보다 2배 가량 높다.영업은 24시간 운영되는 일반 매장과 달리 면회 가능시간인 오전 9시부터 오후 4까지만 운영되면 휴일과 공휴일엔 문을 닫는다.또 세븐일레븐은 2011년 2월부터 스타크루즈와 제휴해 ‘제주-평택’ ‘제주-목포’왕복선에 매장을 운영하고 있다.견병문 BGF리테일 개발본부장은 “업계에서 확고한 경쟁우위를 확보하기 위해선 급변하는 환경 변화에 발 빠르게 맞춰 나아가는 게 무엇보다 중요하다”며 “지난 6월 순수 국내 독자브랜드로 전환한 CU는 이용자 중심의 편의점 2.0시대를 열기 위해 고객과 입지에 맞는 새로운 편의점 모델을 개발하기 위해 많은 노력과 투자를 하고 있다”고 말했다.[김창남 기자 kcn@chosun.com]ㆍ8만원짜리 휴대폰 편의점에서 판다ㆍ눈이 오면 편의점에서 속옷이 잘 팔린다?ㆍ공정위, 편의점 250m내 신규 출점 금지…해지 위약금도 축소chosunbiz.com",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000098462
"- 진열대 줄여 테이블 배치..400여곳 도입- 점포 개선 후 매출 17% 증가[이데일리 이학선 기자] 한국형 편의점을 표방하며 지난 8월 독자브랜드로 새출발한 CU(옛 훼미리마트)의 점포 개선작업이 속도를 내고 있다.20일 편의점업계에 따르면 CU는 지난 10월말까지 대부분의 간판을 ‘훼미리마트’에서 ‘CU’로 바꾼데 이어 현재는 신규 점포나 재계약 점포를 대상으로 새로운 매장모델을 적용하고 있다. CU가 내세우는 한국형 편의점의 가장 큰 특징은 상품 나열보다 고객의 편의를 우선했다는 점이다.점포 안이 훤히 보이도록 통유리를 사용해 답답한 느낌이 들지 않도록 했고, 구색맞추기 식으로 온갖 상품을 진열하는 방식에서 벗어나 상권특성에 맞는 상품을 전면에 내세웠다. 예컨대 학원가라면 학생들이 많이 찾는 튀김이나 어묵, 빵 등을 전진 배치하는 식이다.특히 좁은 점포안을 여러개의 진열대가 차지하고 있는 일반적인 편의점과 달리 CU의 한국형 편의점은 진열대수를 줄여 남는 공간을 고객이 앉아서 음식을 먹거나 쉴 수 있는 공간으로 활용했다. 편의점에서 라면이나 도시락을 먹을 때 서서 먹는 문화를 바꾸고 있는 셈이다.CU 관계자는 “국내 편의점 모델은 미국이나 일본에서 들여온 것이라 한국인의 특성에 맞지 않는 측면이 있었다”며 “앉아서 밥을 먹고 쉬면서 얘기를 나누는 것을 중시하는 한국문화에 적합하도록 점포를 개선한 것”이라고 말했다.현재 CU의 한국형 편의점은 전국적으로 약 400개가 영업을 하고 있다. 점포 개선에 드는 비용은 모두 본사가 부담했다. 기존 점포 중에선 74개가 시범적으로 한국형 편의점 모델을 도입했다.가시적 효과도 나타나고 있다. CU가 한국형 편의점을 도입한 50여개 기존 점포의 매출현황을 분석한 결과, 매장 개편 이후 하루평균 매출이 17% 가량 증가한 것으로 집계됐다. 일부 점포의 경우 종전보다 매출이 배 이상 뛴 곳도 있다고 한다.CU 관계자는 “한국형 편의점에 대한 가맹점주들이 관심이 매우 높다”며 “기존과는 다른 새로운 편의점 모델을 꾸준히 늘려나갈 예정”이라고 말했다.CU가 선보인 한국형 편의점. 통유리를 사용해 안이 훤히 보이도록 했고 고객들이 앉아서 음식을 먹을 수 있도록 테이블과 의자를 비치했다. 사진은 서울 송파구 방이동의 CU 올림픽광장점.",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0002703936
"[머니투데이 반준환 기자]편의점 CU(씨유)는 올해 크리스마스 관련 상품들을 최근 새로운 소비주체로 급부상한 1~2인 가구 고객들을 위한 마케팅에 나선다고 20일 밝혔다. CU는 올해 처음으로 1~2인 가구 고객들을 대상으로 미니케익을 판매할 예정이다. 러블리쇼콜라(7000원), 초코브라우니(1만원), 카페쉬폰(1만원) 총 3종이다. 크기는 지름 11cm~15cm로 일반 케익보다 절반가량 작고 조각 케익보단 훨씬 커 1~2명이 먹기에 딱 좋은 사이즈다.  솔로들의 외로운 속을 달래 주기 위한 ‘CU 와인위크’도 진행된다. 21일부터 31일까지 ‘비노솔로와인’ 2종을 포함한 총 12종의 와인을 최대 60% 할인된 가격으로 판매한다. 올해 최고 판매액을 기록한 ‘몬테스클래식 까버네소비뇽(2만3000원→1만5700원)’ 등 인기상품 10종을 9900원에서부터 2만9000원까지 살 수 있다.   [머니투데이 핫뉴스]☞ ""택배아저씨 어디세요!"" 요즘, 왜 늦나했더니☞ 맥도날드 할머니 ""1년전 스타벅스 갔다가…""☞ 80억대박 개그맨, 진짜 '얼굴마담'이었나?☞ ""거의 중독"" 정용진 부회장이 극찬한 컵라면은?☞ 홍대~세종시 출근, 새벽5시50분 나섰다가…☞ ""투표 인증샷, 이렇게 찍으면 벌금 600만원""☞ 표창원 교수 ""향후 5년간 공직 맡지 않겠다""[스몰캡 리포트]숨어있는 중소형주 발굴!반준환기자 abcd@<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0002967822
"특수상권·다세대주거 지역 내 위치 등 예외 인정하기로공정위, 편의점 모범거래기준 발표[아시아경제 김혜민 기자]앞으로 새롭게 들어서는 신규편의점은 기존 가맹점과 최소 250m이상 거리를 둬야 한다. 다만 대학·병원·터미널 등 특수상권에 위치해 있거나 다세대주거 지역에는 예외를 두기로 했다. 중도 계약해지 위약금은 계약금액의 10% 이내로 제한된다. 공정거래위원회는 13일 이런 내용을 담은 편의점 모범거래기준을 발표하고 이 날부터 시행하기로 했다. 빵집(4월)·치킨집·피자집(7월)과 지난달 커피전문점에 이어 다섯번째 모범거래기준이다. 모범거래기준을 적용받는 가맹점은 CU(옛 훼미리마트)·GS25·세븐일레븐·바이더웨이·미니스톱 등 시장점유율 97%를 차지하는 상위 5개사다. 모두 합친 편의점 수는 1000개를 넘어선다. 거의 모든 편의점 브랜드가 모범거래기준에 적용된다고 할 수 있다. 이들은 앞으로 기존 가맹점으로부터 도보거리 250m 이내에 새로운 편의점을 낼 수 없다. 공정위는 전화설문조사와 가맹점 매출을 분석한 결과 중복출점으로 인한 매출피해는 주로 200m 이내에서 발생하는 점을 고려해 이런 결정을 내렸다고 설명했다. 다만 편의점 업종의 특성을 감안해 ▲왕복 8차선 도로가 있어 상권이 확연히 구분되는 경우 ▲대학·병원·공원·터미널 등 특수상권에 들어서는 경우 ▲1000세대 이상 아파트 단지가 새로 들어서는 경우 ▲가맹점주가 같은 위치에서 편의점 브랜드 기존 A에서 B로 바꿔 입점하면서 인근 편의점 B와의 거리가 250m 미만인 경우에는 이 규정을 적용하지 않기로 했다. 현재 서울에서 250m 이내에 편의점이 들어선 비율은 꽤 높다. GS25 매장 2곳 중 1곳은 타 점포와 250m도 떨어지지 않은 거리에 있었다. 업계 1위인 CU는 10곳 중 4곳이 250m 내 중복출점 돼 있었다. 세븐일레븐(42%)도 마찬가지 상황이다. 바이더웨이(26%), 미니스톱(21%)은 매장 10곳 중 2곳의 점포간 거리가 250m 미만이었다. 신규 편의점 개점을 희망하는 사람에게는 계약체결 7일전까지 인근 경쟁점 현황·월 예상매출액 등을 담은 상권분석 보고서를 서면으로 제공해야 한다. 과장 정보제공을 막고 사후 분쟁발생시 입증자료로 활용하기 위해서다. 가맹점이 매출부진 등의 이유로 계약을 중도 해지 할 경우 가맹본부에 지불해야 할 위약금은 계약금액의 10% 이내로 제한하기로 했다. 현재는 가맹본부가 매월 가맹점에게 받는 로열티 금액(평균매출이익의 35%)의 최대 10~12개월분을 부과하고 있다.  이 경우 가맹점주는 실제 손해에 비해 위약금이 과다해 적자를 내면서도 울며겨자먹기로 편의점을 운영해야했다.공정위는 이 구조를 바꾸는 대신 가맹점이 최소 3개월 전에 계약해지 희망사실을 가맹본부에 알려야 하는 내용을 추가했다. 3개월의 예고기간을 부여하는 것은 가맹본부에 후속 가맹점 준비 기간을 부여함으로써 가맹본부와 가맹점 모두 손해를 최소화하기 위한 장치다. 공정위는 이번에 정한 모범거래기준을 가맹본부의 정보공개서와 가맹계약서에 포함시켜 이들이 잘 지키고 있는지 지속적으로 감시할 예정이다.  김혜민 기자 hmeeng@<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>[관련기사]  ""5살 연하와 결혼했던 '박선주' 6개월만에"" 노홍철 7년전 '사기행각' 드러나더니 결국 ""통큰 '유재석' 하하 결혼 축의금으로 무려"" 열애 고백 '이의정' 알고보니 남친 집안이…'충격' '윤형빈-정경미' 7년째 사귀더니만 결국",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0002896789
